Wall time,Step,Value
1652250325.2500982,222731,-1.0
1652250337.1864686,223041,-1.0
1652250361.9210694,223845,-1.0
1652250395.4707453,224912,-1.0
1652250405.314059,225184,-1.0
1652250455.337117,226798,-1.0
1652250469.3824065,227281,-1.0
1652250472.4387488,227371,-1.0
1652250529.0976942,229103,-1.0
1652250540.4392653,229413,-1.0
1652250588.5569766,230823,-1.0
1652250621.9338658,231875,-1.0
1652250641.479196,232515,-1.0
1652250665.1541035,233224,-1.0
1652250731.3582242,235205,-20.0
1652250753.6819758,235881,-1.0
1652250818.1970284,237904,-1.0
1652250819.8487282,237956,-1.0
1652250823.5131369,238104,-1.0
1652250941.1014888,241757,-1.0
1652250957.9332616,242332,-1.0
1652250976.9789784,242928,-1.0
1652250979.1543365,242986,-20.0
1652250999.340581,243594,-1.0
1652251062.631633,245573,-20.0
1652251063.7979586,245609,-1.0
1652251108.801287,246981,-1.0
1652251117.1234987,247277,-1.0
1652251173.050502,248857,-1.0
1652251247.192753,251172,-1.0
1652251295.4917684,252743,-1.0
1652251325.3375888,253649,-1.0
1652251371.97029,255205,-1.0
1652251380.6319954,255499,-20.0
1652251515.2334363,259762,-1.0
1652251690.8869991,265208,-20.0
1652251733.0729809,266440,-1.0
1652251814.2298994,268946,-1.0
1652251851.1787412,270125,-1.0
1652252127.7992792,278650,-1.0
1652252729.7033026,296800,-1.0
1652252909.2235565,302413,-20.0
1652253433.7258987,318483,-1.0
1652253459.1622252,319179,-1.0
1652253692.4949102,326128,-1.0
1652253798.7814965,329384,-1.0
1652253850.479637,331012,-1.0
1652253860.645245,331257,-1.0
1652254030.020024,336423,-1.0
1652254295.4145498,344837,-20.0
1652254433.1114643,349176,-10.0
1652254574.2437227,353439,-20.0
1652254575.8857076,353494,-20.0
1652254794.766551,359847,-1.0
1652254861.0374794,361899,-1.0
1652254877.420389,362411,-1.0
1652254882.1111915,362532,-1.0
1652254891.7538803,362831,-1.0
1652254898.7444997,363019,-1.0
1652255071.8641737,368454,-10.0
1652255270.236653,374404,-1.0
1652255550.6176271,382624,-1.0
1652255741.851046,388597,-1.0
1652255851.39331,392018,-1.0
1652255867.432006,392561,-1.0
1652255936.648197,394607,-1.0
1652256037.0877483,397677,-1.0
1652256077.0314572,398897,-20.0
1652256110.8062398,399907,-20.0
1652256154.0373943,401206,-20.0
1652256157.9603155,401316,-20.0
1652256262.4895163,404601,-1.0
1652256480.493897,411136,-1.0
1652256560.6069024,413712,-20.0
1652256567.1139219,413897,-20.0
1652256578.7210968,414278,-1.0
1652256604.435367,415068,-1.0
1652256678.7121363,417416,-20.0
1652256785.6213763,420664,-1.0
1652257053.726797,428803,-1.0
1652257064.3339517,429060,-1.0
1652257100.4694057,430185,-20.0
1652257260.9554203,434906,-1.0
1652257314.9260385,436503,-1.0
1652257325.8169994,436883,-1.0
1652257329.683352,436977,-1.0
1652257365.343037,438107,-1.0
1652257499.6758342,442252,-1.0
1652257602.7638354,445470,-1.0
1652257923.0507598,454785,-20.0
1652258087.3195558,459597,-20.0
1652258253.642502,464485,-1.0
1652258432.1605742,469763,-1.0
1652258475.2239394,471015,-1.0
1652258495.2929697,471614,-1.0
1652258747.2087688,479341,-1.0
1652258766.8981278,479921,-20.0
1652258814.8897107,481286,-1.0
1652259160.141486,491546,-20.0
1652259217.9869182,493275,-1.0
1652259223.2931743,493423,-20.0
1652259250.1141243,494242,-1.0
1652259252.568104,494343,-1.0
1652259377.9574392,498130,-20.0
1652259406.4606824,498973,-20.0
1652259421.1480222,499493,-1.0
1652259468.5032454,500930,-1.0
1652259590.7821834,504608,-1.0
1652259609.5649443,505188,-1.0
1652259674.4659226,507163,-1.0
1652259801.8269746,510976,-1.0
1652259884.8810313,513542,-20.0
1652259895.1224594,513879,-1.0
1652260095.8883626,519644,-1.0
1652260205.4213643,522851,-1.0
1652260232.5242965,523712,-1.0
1652260268.7811792,524771,-1.0
1652260380.7885332,528044,-20.0
1652260401.5788853,528570,-1.0
1652260780.5624156,537685,-1.0
1652260910.6259205,540850,-1.0
1652261077.922369,545173,-1.0
1652261367.6297646,552656,-1.0
1652261379.5852728,553024,-1.0
1652261470.9298625,555219,-1.0
1652261633.0250194,559381,-1.0
1652261781.7651865,563128,-1.0
1652261815.006843,564042,-1.0
1652261834.1870503,564507,-1.0
1652261883.3981566,565703,-1.0
1652262067.4262319,570492,-1.0
1652262097.228425,571304,-20.0
1652262426.726212,579457,-1.0
1652262500.0106692,581351,-1.0
1652262575.545653,583429,-1.0
1652262745.8462195,587644,-1.0
1652262871.6561265,590763,-20.0
1652262901.9265697,591443,-1.0
1652262987.74671,593629,-20.0
1652263092.1957362,596310,-1.0
1652263291.986461,601340,-1.0
1652263591.646944,609159,-20.0
1652263635.5900922,610294,-20.0
1652263650.0823898,610639,-1.0
1652264003.7639208,619879,-1.0
1652264011.728789,620069,-1.0
1652264018.9436948,620261,-1.0
1652264312.4768758,627625,-20.0
1652264522.3121438,632911,-1.0
1652264951.80218,644310,-20.0
1652265194.6978774,650603,-20.0
1652265478.9381657,658108,-1.0
1652265665.6576962,663746,-1.0
1652265721.4496872,665550,-1.0
1652265773.6326828,667164,-20.0
1652266022.6202958,674629,-1.0
1652266164.041343,678856,-20.0
1652266432.8307095,686821,-1.0
1652266540.4765196,690028,-1.0
1652266554.6755466,690389,-1.0
1652266708.068198,695013,-1.0
1652266789.8702302,697445,-1.0
1652266869.0862935,699782,-1.0
1652267096.1197705,706558,-1.0
1652267307.7539868,712610,-1.0
1652267313.814482,712804,-1.0
1652267331.7529395,713375,-1.0
1652267416.6390178,715940,-1.0
1652267629.8724074,721952,-1.0
1652267648.5283206,722537,-1.0
1652267857.7889283,728692,-1.0
1652267936.98293,730940,-1.0
1652267941.701089,731111,-1.0
1652267988.0167267,732520,-1.0
1652267996.4376013,732733,-1.0
1652268154.9794388,737568,-20.0
1652268162.7182314,737791,-20.0
1652268186.4954963,738533,-1.0
1652268272.1309745,741066,-1.0
1652268391.6812346,744643,-1.0
1652268516.052364,748619,-1.0
1652268540.311529,749285,-1.0
1652268570.0023227,750300,-1.0
1652268686.6633122,754072,-1.0
1652268746.636087,755831,-1.0
1652268760.7825985,756334,-1.0
1652268841.938179,758903,-20.0
1652268866.2745798,759674,-1.0
1652269036.7893243,764875,-1.0
1652269092.9493408,766523,-1.0
1652269098.0593104,766642,-1.0
1652269143.4270282,768036,-1.0
1652269167.6683934,768834,-20.0
1652269307.7879057,773179,-1.0
1652269363.2330036,774915,-1.0
1652269393.1603892,775890,-1.0
1652269415.4129274,776531,-1.0
1652269461.6450527,777888,-1.0
1652269608.213658,782321,-1.0
1652269679.738717,784365,-1.0
1652269693.7295012,784776,-1.0
1652269767.8306007,787052,-1.0
1652269801.3453047,788054,-1.0
1652269844.3500044,789424,-1.0
1652269885.1296666,790697,-1.0
1652269969.5989082,793243,-1.0
1652270245.739826,801313,-1.0
1652270247.0436203,801356,-1.0
1652270258.56585,801733,-1.0
1652270296.967987,802864,-1.0
1652270311.6408997,803283,-1.0
1652270437.086657,806961,-1.0
1652270460.1101167,807563,-1.0
1652270503.7790978,808901,-1.0
1652270601.2994077,811908,-1.0
1652270611.6528988,812220,-1.0
1652270622.8641427,812523,-1.0
1652270632.7045932,812783,-1.0
1652270639.6151102,812993,-1.0
1652270651.3442085,813325,-1.0
1652270666.225806,813736,-1.0
1652270671.9264824,813909,-1.0
1652270688.9230635,814381,-1.0
1652270742.3994374,815925,-1.0
1652270753.7712936,816328,-20.0
1652270782.6684608,817217,-1.0
1652271048.9581351,825226,-1.0
1652271087.2777724,826421,-1.0
1652271112.7206655,827219,-1.0
1652271152.6159077,828556,-1.0
1652271312.9992828,833382,-1.0
1652271380.2491646,835502,-1.0
1652271389.2972722,835802,-1.0
1652271498.8500001,838955,-1.0
1652271565.689202,840916,-1.0
1652271827.5472085,849062,-1.0
1652271880.903385,850665,-1.0
